a,w,method,tlb
3,2,sax,0.014693877551020407
3,2,sfa,0.08325236482449494
3,2,spartan,0.15189770341920028
4,2,sax,0.020589916614989757
4,2,sfa,0.1480546718758847
4,2,spartan,0.23506201398368126
5,2,sax,0.02421876137247373
5,2,sfa,0.1864167995740785
5,2,spartan,0.30522074780799424
6,2,sax,0.022681713532447658
6,2,sfa,0.20185401967653824
6,2,spartan,0.3579020657628147
7,2,sax,0.054984903533150546
7,2,sfa,0.23216956965059793
7,2,spartan,0.3966406683339493
8,2,sax,0.05283475253244401
8,2,sfa,0.26604671629122467
8,2,spartan,0.41533062992433945
9,2,sax,0.0753731974439095
9,2,sfa,0.2776810354283938
9,2,spartan,0.4508560990089078
10,2,sax,0.07830484359868367
10,2,sfa,0.29339185031763937
10,2,spartan,0.47346457053699287
3,3,sax,0.019175164204750496
3,3,sfa,0.12657021087971002
3,3,spartan,0.1864538478496395
4,3,sax,0.06962332518271522
4,3,sfa,0.2086827679325969
4,3,spartan,0.2945877988027624
5,3,sax,0.09874463472275155
5,3,sfa,0.2617630103436441
5,3,spartan,0.38892172356181365
6,3,sax,0.11431417779302769
6,3,sfa,0.2820961470541994
6,3,spartan,0.4453387379976188
7,3,sax,0.1544735656691787
7,3,sfa,0.3231417896986136
7,3,spartan,0.4891471815990002
8,3,sax,0.16934668144758694
8,3,sfa,0.35303178861779444
8,3,spartan,0.5078214469036629
9,3,sax,0.17605448415100775
9,3,sfa,0.3638483029849465
9,3,spartan,0.5457885401158851
10,3,sax,0.21749267349910065
10,3,sfa,0.3821292351910882
10,3,spartan,0.5755171425127293
3,4,sax,0.04885474425187527
3,4,sfa,0.1347070470019242
3,4,spartan,0.21072517661889764
4,4,sax,0.1315172575199709
4,4,sfa,0.22140915101012115
4,4,spartan,0.32206724746607374
5,4,sax,0.1663909391863788
5,4,sfa,0.2792722790124394
5,4,spartan,0.4164681779460621
6,4,sax,0.21689078048092633
6,4,sfa,0.2996046849750872
6,4,spartan,0.48173297303738905
7,4,sax,0.25048979768094054
7,4,sfa,0.3412683329190825
7,4,spartan,0.5242669593264008
8,4,sax,0.2959798708161807
8,4,sfa,0.37134629722995843
8,4,spartan,0.5549185880464538
9,4,sax,0.299042073146321
9,4,sfa,0.38256400864081624
9,4,spartan,0.5951945728929358
10,4,sax,0.3272801257759949
10,4,sfa,0.4009287756796412
10,4,spartan,0.622090895390314
3,5,sax,0.08289050718091388
3,5,sfa,0.15820989277510275
3,5,spartan,0.2223659982096458
4,5,sax,0.14318198566554155
4,5,sfa,0.2506045973324216
4,5,spartan,0.34514189088809716
5,5,sax,0.21489070224084442
5,5,sfa,0.307990797552515
5,5,spartan,0.44248257663665885
6,5,sax,0.277095012351837
6,5,sfa,0.34214593826270256
6,5,spartan,0.5048057268979856
7,5,sax,0.3063131197310592
7,5,sfa,0.36926931815729847
7,5,spartan,0.5475607311564773
8,5,sax,0.3420975449516035
8,5,sfa,0.39998764667052245
8,5,spartan,0.5778304672333137
9,5,sax,0.3971410839172154
9,5,sfa,0.41766768661439624
9,5,spartan,0.6223310117751826
10,5,sax,0.40544540641376475
10,5,sfa,0.4374979235603235
10,5,spartan,0.6501510385010438
3,6,sax,0.11549285794373274
3,6,sfa,0.16690614119553143
3,6,spartan,0.23579492546376574
4,6,sax,0.1702461354970481
4,6,sfa,0.26023444719659056
4,6,spartan,0.3616077780174181
5,6,sax,0.2382999990006245
5,6,sfa,0.32093993335163074
5,6,spartan,0.45930392810973414
6,6,sax,0.2989851162378842
6,6,sfa,0.3556488411725079
6,6,spartan,0.5228808174385025
7,6,sax,0.3417396893573807
7,6,sfa,0.38811087849884995
7,6,spartan,0.5664081629175755
8,6,sax,0.35679346814663593
8,6,sfa,0.41895737119883525
8,6,spartan,0.5960459544289162
9,6,sax,0.40844780463849095
9,6,sfa,0.4376239021860402
9,6,spartan,0.6409324287040925
10,6,sax,0.4299034774820818
10,6,sfa,0.456181899819672
10,6,spartan,0.6691819883862326
3,7,sax,0.1380054362029884
3,7,sfa,0.17644802042238358
3,7,spartan,0.2471559700209349
4,7,sax,0.21383170562573542
4,7,sfa,0.2644668720783346
4,7,spartan,0.37569911458060057
5,7,sax,0.2749627255379662
5,7,sfa,0.33088648194000575
5,7,spartan,0.47284828254553696
6,7,sax,0.3348507846350932
6,7,sfa,0.3615588431783041
6,7,spartan,0.539290072977449
7,7,sax,0.38661722624461253
7,7,sfa,0.39424455820643345
7,7,spartan,0.5812281724520754
8,7,sax,0.41315419042648066
8,7,sfa,0.43396616184587977
8,7,spartan,0.6111134126693839
9,7,sax,0.4424976359662848
9,7,sfa,0.4486699106542375
9,7,spartan,0.6564940711039787
10,7,sax,0.4857772116016789
10,7,sfa,0.466028802056709
10,7,spartan,0.684620003249653
3,8,sax,0.1151908563015296
3,8,sfa,0.17887031266070347
3,8,spartan,0.2511002428451956
4,8,sax,0.19843556019633057
4,8,sfa,0.26881791320052445
4,8,spartan,0.3839607151857234
5,8,sax,0.26131798343699486
5,8,sfa,0.33584147242579176
5,8,spartan,0.4822772865622661
6,8,sax,0.3154902562442681
6,8,sfa,0.36623884961850056
6,8,spartan,0.5470550863496325
7,8,sax,0.3749862003312091
7,8,sfa,0.4000688590082506
7,8,spartan,0.5898604720261963
8,8,sax,0.40460513573831214
8,8,sfa,0.43994718903472857
8,8,spartan,0.6206742222903336
9,8,sax,0.44666980370426906
9,8,sfa,0.4548851936079615
9,8,spartan,0.6653524901514746
10,8,sax,0.46861544003323
10,8,sfa,0.472750061146514
10,8,spartan,0.6955064366388259
